 NI AC  RH    RM    RS    V     DG    DM    DS   BMAG     X      Y      TYPE
5206      13    33  43.8  -       48     9     7   11.9   3.80    3.3   SB0
1543       4    12  43.1  -       57    44    14   11.5   3.80    2.8   SB0
7412      22    55  46.1  -       42    38    29   11.9   3.80    2.8   SBb
7755      23    47  51.9  -       30    31    25   12.6   3.80    2.8   SBc
5576      14    21   3.7  +        3    16    17   11.9   3.80    2.7    E3
1427       3    42  19.2  -       35    23    34   11.8   3.80    2.6    E3
3054       9    54  28.7  -       25    42    13   12.6   3.80    2.4   SBb
5300      13    48  15.9  +        3    57     2   12.1   3.80    2.4   SBc
533        1    25  31.4  +        1    45    33   12.4   3.80    2.3    E3
4116      12     7  37.0  +        2    41    28   12.4   3.80    2.3   SBc
3447      10    53  24.0  +       16    46    19   13.9   3.80    2.2  SBdm/P
3256      10    27  51.4  -       43    54    19   12.2   3.80    2.1   Sb/P
5365      13    57  50.5  -       43    55    55   12.5   3.80    2.1   SB0
5448      14     2  50.4  +       49    10    21   11.9   3.80    2.0   SBa
151        0    34   2.8  -        9    42    18   12.3   3.80    1.6   SBbc
153        0    34   2.8  -        9    42    18   12.3   3.80    1.6   SBbc
4951      13     5   7.5  -        6    29    39   12.6   3.80    1.6   SBc
2549       8    18  58.3  +       57    48    11   12.2   3.80    1.2    S0
3976      11    55  57.2  +        6    44    54   12.3   3.80    1.2   SBb
4586      12    38  28.3  +        4    19     7   12.6   3.80    1.2    Sa
7183      22     2  21.2  -       18    54    56   12.9   3.80    1.1   S0-a
4313      12    22  38.3  +       11    48     4   12.8   3.80    0.9   Sab
4771      12    53  20.9  +        1    16    12   13.0   3.80    0.9   Scd
7064      21    29   3.2  -       52    46     2   13.1   3.80    0.7   SBc
7144      21    52  42.6  -       48    15    17   11.7   3.70    3.6    E0
514        1    24   3.9  +       12    55     2   12.2   3.70    3.0   SBc
2935       9    36  44.6  -       21     7    40   12.1   3.70    2.8   SBb
7329      22    40  24.2  -       66    28    45   12.1   3.70    2.7   SBbc
2782       9    14   5.0  +       40     6    49   12.3   3.70    2.4   SBa
3041       9    53   7.1  +       16    40    39   12.3   3.70    2.4   SBc
3673      11    25  12.7  -       26    44    12   12.3   3.70    2.4   SBb
1569       4    30  49.1  +       64    50    53   11.9   3.70    1.8   IBm
6643      18    19  45.6  +       74    34     6   11.7   3.70    1.8    Sc
4357      12    23  59.1  +       48    46    48   13.2   3.70    1.3   Sbc
4381      12    23  59.1  +       48    46    48   13.2   3.70    1.3   Sbc
2770       9     9  33.5  +       33     7    27   12.8   3.70    1.1    Sc
4219      12    16  27.4  -       43    19    21   12.7   3.70    1.1   Sbc
3972      11    55  45.3  +       55    19    12   13.0   3.70    1.0   SBbc
5290      13    45  19.1  +       41    42    47   13.0   3.70    1.0   Sbc
1596       4    27  38.0  -       55     1    35   12.1   3.70    0.9    S0
2992       9    45  41.9  -       14    19    37   13.1   3.70    0.9    Sa
1622       4    36  36.6  -        3    11    18   13.4   3.70    0.7   SBab
5308      13    47   0.0  +       60    58    22   12.3   3.70    0.7    S0
973        2    34  20.1  +       32    30    20   13.6   3.70    0.5    Sb
2681       8    53  32.5  +       51    18    47   11.1   3.60    3.3  SB0-a
3059       9    50   8.0  -       73    55    17   11.7   3.60    3.2   SBbc
4571      12    36  56.4  +       14    13     3   11.8   3.60    3.2    Sc
685        1    47  42.8  -       52    45    43   11.5   3.60    3.1   SBc
4204      12    15  14.2  +       20    39    32   12.9   3.60    2.9   SBdm
5892      15    13  48.1  -       15    27    51   12.4   3.60    2.9   SBcd
6868      20     9  54.0  -       48    22    48   11.7   3.60    2.8    E2
2283       6    45  52.6  -       18    12    37   12.2   3.60    2.7   SBc
895        2    21  36.5  -        5    31    16   12.3   3.60    2.6    Sc
4373      12    25  17.7  -       39    45    38   11.9   3.60    2.6  E/SB0
4984      13     8  57.1  -       15    30    57   12.3   3.60    2.5  SB0-a
5832      14    57  45.7  +       71    40    53   12.9   3.60    2.2   SBb
1201       3     4   7.9  -       26     4     8   11.7   3.60    2.1   E/S0
2552       8    19  19.6  +       50     0    25   12.6   3.60    2.1   SBm
2273       6    50   8.4  +       60    50    45   12.6   3.60    2.0   SBa
3095      10     0   5.7  -       31    33    12   12.4   3.60    2.0   SBc
6070      16     9  58.6  +        0    42    36   12.5   3.60    1.8    Sc
1415       3    40  56.9  -       22    33    51   12.8   3.60    1.7   S0-a
5320      13    50  20.2  +       41    21    58   12.8   3.60    1.7   SBc
3187      10    17  47.7  +       21    52    26   13.9   3.60    1.6  SBc/P
2713       8    57  20.6  +        2    55    17   12.7   3.60    1.5   SBab
4251      12    18   8.4  +       28    10    31   11.6   3.60    1.5   SB0
6255      16    54  47.4  +       36    30     6   13.5   3.60    1.5   SBc
7041      21    16  32.1  -       48    21    47   12.1   3.60    1.5   E-S0
1507       4     4  27.2  -        2    11    19   12.9   3.60    1.0   SBm
3573      11    11  18.1  -       36    52    32   13.3   3.60    1.0   S0-a
4522      12    33  39.7  +        9    10    27   13.0   3.60    1.0   SBc
5560      14    20   4.4  +        3    59    34   13.2   3.60    0.9  SBb/P
5951      15    33  43.1  +       15     0    27   13.4   3.60    0.8   SBc
360        1     2  51.5  -       65    36    32   13.3   3.60    0.5   Sbc
2357       7    17  40.9  +       23    21    23   14.0   3.60    0.5    Sc
2424       7    40  39.3  +       39    14     0   13.6   3.60    0.5   SBb
404        1     9  26.9  +       35    43     6   11.2   3.50    3.5   E-S0
4624      12    45   6.1  +        3     3    19   11.2   3.50    3.5  SB0-a
4664      12    45   6.1  +        3     3    19   11.2   3.50    3.5  SB0-a
